id,value,sim
7695, 6.775E+01,Mode#7,Frequency=   1.269e+02Hz
7696, 6.590E+01,Mode#7,Frequency=   1.269e+02Hz
7697, 6.330E+01,Mode#7,Frequency=   1.269e+02Hz
7698, 6.013E+01,Mode#7,Frequency=   1.269e+02Hz
8980, 9.274E+01,Mode#7,Frequency=   1.269e+02Hz
8981, 8.644E+01,Mode#7,Frequency=   1.269e+02Hz
8982, 8.164E+01,Mode#7,Frequency=   1.269e+02Hz
8983, 7.825E+01,Mode#7,Frequency=   1.269e+02Hz
8984, 7.596E+01,Mode#7,Frequency=   1.269e+02Hz
8985, 7.456E+01,Mode#7,Frequency=   1.269e+02Hz
8986, 7.372E+01,Mode#7,Frequency=   1.269e+02Hz
8987, 7.326E+01,Mode#7,Frequency=   1.269e+02Hz
8988, 7.308E+01,Mode#7,Frequency=   1.269e+02Hz
8989, 7.309E+01,Mode#7,Frequency=   1.269e+02Hz
8990, 7.326E+01,Mode#7,Frequency=   1.269e+02Hz
8991, 7.371E+01,Mode#7,Frequency=   1.269e+02Hz
8992, 7.450E+01,Mode#7,Frequency=   1.269e+02Hz
8993, 7.589E+01,Mode#7,Frequency=   1.269e+02Hz
8994, 7.816E+01,Mode#7,Frequency=   1.269e+02Hz
8995, 8.184E+01,Mode#7,Frequency=   1.269e+02Hz
8996, 8.760E+01,Mode#7,Frequency=   1.269e+02Hz
7352, 8.516E+01,Mode#7,Frequency=   1.269e+02Hz
8295, 9.803E+01,Mode#7,Frequency=   1.269e+02Hz
8296, 8.648E+01,Mode#7,Frequency=   1.269e+02Hz
5811, 9.971E+01,Mode#7,Frequency=   1.269e+02Hz
5812, 8.972E+01,Mode#7,Frequency=   1.269e+02Hz
5813, 9.463E+01,Mode#7,Frequency=   1.269e+02Hz
5827, 9.849E+01,Mode#7,Frequency=   1.269e+02Hz
6283, 3.027E+01,Mode#7,Frequency=   1.269e+02Hz
6284, 4.648E+01,Mode#7,Frequency=   1.269e+02Hz
6285, 8.563E+01,Mode#7,Frequency=   1.269e+02Hz
6290, 9.789E+01,Mode#7,Frequency=   1.269e+02Hz
6293, 8.844E+01,Mode#7,Frequency=   1.269e+02Hz
6294, 4.352E+01,Mode#7,Frequency=   1.269e+02Hz
6295, 4.147E+01,Mode#7,Frequency=   1.269e+02Hz
6296, 5.008E+01,Mode#7,Frequency=   1.269e+02Hz
6297, 5.677E+01,Mode#7,Frequency=   1.269e+02Hz
6298, 6.281E+01,Mode#7,Frequency=   1.269e+02Hz
14550, 9.827E+01,Mode#7,Frequency=   1.269e+02Hz
14553, 8.471E+01,Mode#7,Frequency=   1.269e+02Hz
14554, 4.803E+01,Mode#7,Frequency=   1.269e+02Hz
14555, 7.656E+01,Mode#7,Frequency=   1.269e+02Hz
14556, 9.971E+01,Mode#7,Frequency=   1.269e+02Hz
5794, 9.895E+01,Mode#7,Frequency=   1.269e+02Hz
6266, 2.401E+01,Mode#7,Frequency=   1.269e+02Hz
6267, 1.728E+01,Mode#7,Frequency=   1.269e+02Hz
6268, 1.209E+01,Mode#7,Frequency=   1.269e+02Hz
6269, 8.493E+00,Mode#7,Frequency=   1.269e+02Hz
6270, 6.191E+00,Mode#7,Frequency=   1.269e+02Hz
6271, 4.887E+00,Mode#7,Frequency=   1.269e+02Hz
