id,value,sim
1344, 3.365E-07,Mode#6,Frequency=   6.742e-03Hz
1345, 3.346E-07,Mode#6,Frequency=   6.742e-03Hz
1346, 3.308E-07,Mode#6,Frequency=   6.742e-03Hz
1347, 3.251E-07,Mode#6,Frequency=   6.742e-03Hz
1348, 3.192E-07,Mode#6,Frequency=   6.742e-03Hz
2169, 2.826E-07,Mode#6,Frequency=   6.742e-03Hz
2170, 2.749E-07,Mode#6,Frequency=   6.742e-03Hz
2171, 2.663E-07,Mode#6,Frequency=   6.742e-03Hz
2172, 2.563E-07,Mode#6,Frequency=   6.742e-03Hz
2173, 2.476E-07,Mode#6,Frequency=   6.742e-03Hz
2174, 2.406E-07,Mode#6,Frequency=   6.742e-03Hz
2175, 2.351E-07,Mode#6,Frequency=   6.742e-03Hz
2176, 2.300E-07,Mode#6,Frequency=   6.742e-03Hz
2177, 2.251E-07,Mode#6,Frequency=   6.742e-03Hz
2178, 2.202E-07,Mode#6,Frequency=   6.742e-03Hz
2179, 2.152E-07,Mode#6,Frequency=   6.742e-03Hz
2180, 2.101E-07,Mode#6,Frequency=   6.742e-03Hz
4175, 3.459E-07,Mode#6,Frequency=   6.742e-03Hz
4176, 3.347E-07,Mode#6,Frequency=   6.742e-03Hz
4177, 3.197E-07,Mode#6,Frequency=   6.742e-03Hz
4178, 3.041E-07,Mode#6,Frequency=   6.742e-03Hz
4179, 2.944E-07,Mode#6,Frequency=   6.742e-03Hz
4180, 2.876E-07,Mode#6,Frequency=   6.742e-03Hz
4181, 2.811E-07,Mode#6,Frequency=   6.742e-03Hz
4182, 2.749E-07,Mode#6,Frequency=   6.742e-03Hz
4183, 2.691E-07,Mode#6,Frequency=   6.742e-03Hz
4184, 2.630E-07,Mode#6,Frequency=   6.742e-03Hz
4185, 2.570E-07,Mode#6,Frequency=   6.742e-03Hz
4186, 2.507E-07,Mode#6,Frequency=   6.742e-03Hz
7716, 3.422E-07,Mode#6,Frequency=   6.742e-03Hz
7717, 3.382E-07,Mode#6,Frequency=   6.742e-03Hz
