id,value,sim
1344, 7.959E-07,Mode#5,Frequency=   6.725e-03Hz
1345, 8.025E-07,Mode#5,Frequency=   6.725e-03Hz
1346, 8.056E-07,Mode#5,Frequency=   6.725e-03Hz
1347, 8.038E-07,Mode#5,Frequency=   6.725e-03Hz
1348, 8.001E-07,Mode#5,Frequency=   6.725e-03Hz
2169, 7.199E-07,Mode#5,Frequency=   6.725e-03Hz
2170, 7.095E-07,Mode#5,Frequency=   6.725e-03Hz
2171, 6.967E-07,Mode#5,Frequency=   6.725e-03Hz
2172, 6.795E-07,Mode#5,Frequency=   6.725e-03Hz
2173, 6.640E-07,Mode#5,Frequency=   6.725e-03Hz
2174, 6.522E-07,Mode#5,Frequency=   6.725e-03Hz
2175, 6.434E-07,Mode#5,Frequency=   6.725e-03Hz
2176, 6.344E-07,Mode#5,Frequency=   6.725e-03Hz
2177, 6.265E-07,Mode#5,Frequency=   6.725e-03Hz
2178, 6.172E-07,Mode#5,Frequency=   6.725e-03Hz
2179, 6.089E-07,Mode#5,Frequency=   6.725e-03Hz
2180, 5.993E-07,Mode#5,Frequency=   6.725e-03Hz
4175, 8.795E-07,Mode#5,Frequency=   6.725e-03Hz
4176, 8.616E-07,Mode#5,Frequency=   6.725e-03Hz
4177, 8.331E-07,Mode#5,Frequency=   6.725e-03Hz
4178, 8.022E-07,Mode#5,Frequency=   6.725e-03Hz
4179, 7.851E-07,Mode#5,Frequency=   6.725e-03Hz
4180, 7.744E-07,Mode#5,Frequency=   6.725e-03Hz
4181, 7.643E-07,Mode#5,Frequency=   6.725e-03Hz
4182, 7.538E-07,Mode#5,Frequency=   6.725e-03Hz
4183, 7.440E-07,Mode#5,Frequency=   6.725e-03Hz
4184, 7.338E-07,Mode#5,Frequency=   6.725e-03Hz
4185, 7.229E-07,Mode#5,Frequency=   6.725e-03Hz
4186, 7.118E-07,Mode#5,Frequency=   6.725e-03Hz
7716, 8.218E-07,Mode#5,Frequency=   6.725e-03Hz
7717, 8.231E-07,Mode#5,Frequency=   6.725e-03Hz
7718, 8.213E-07,Mode#5,Frequency=   6.725e-03Hz
7719, 8.156E-07,Mode#5,Frequency=   6.725e-03Hz
7720, 8.110E-07,Mode#5,Frequency=   6.725e-03Hz
7721, 8.080E-07,Mode#5,Frequency=   6.725e-03Hz
7722, 8.058E-07,Mode#5,Frequency=   6.725e-03Hz
7952, 9.495E-07,Mode#5,Frequency=   6.725e-03Hz
7953, 9.507E-07,Mode#5,Frequency=   6.725e-03Hz
7954, 9.531E-07,Mode#5,Frequency=   6.725e-03Hz
7955, 9.532E-07,Mode#5,Frequency=   6.725e-03Hz
7956, 9.498E-07,Mode#5,Frequency=   6.725e-03Hz
7957, 9.476E-07,Mode#5,Frequency=   6.725e-03Hz
7958, 9.465E-07,Mode#5,Frequency=   6.725e-03Hz
8895, 7.668E-07,Mode#5,Frequency=   6.725e-03Hz
8896, 7.600E-07,Mode#5,Frequency=   6.725e-03Hz
8897, 7.509E-07,Mode#5,Frequency=   6.725e-03Hz
8898, 7.376E-07,Mode#5,Frequency=   6.725e-03Hz
8899, 7.239E-07,Mode#5,Frequency=   6.725e-03Hz
8900, 7.144E-07,Mode#5,Frequency=   6.725e-03Hz
8901, 7.080E-07,Mode#5,Frequency=   6.725e-03Hz
8902, 7.023E-07,Mode#5,Frequency=   6.725e-03Hz
8903, 6.968E-07,Mode#5,Frequency=   6.725e-03Hz
8904, 6.914E-07,Mode#5,Frequency=   6.725e-03Hz
8905, 6.858E-07,Mode#5,Frequency=   6.725e-03Hz
9013, 8.120E-07,Mode#5,Frequency=   6.725e-03Hz
9014, 8.094E-07,Mode#5,Frequency=   6.725e-03Hz
9015, 8.048E-07,Mode#5,Frequency=   6.725e-03Hz
9016, 7.968E-07,Mode#5,Frequency=   6.725e-03Hz
9017, 7.867E-07,Mode#5,Frequency=   6.725e-03Hz
9018, 7.796E-07,Mode#5,Frequency=   6.725e-03Hz
