id,value,sim
1344, 7.354E-08,Mode#1,Frequency=   5.956e-03Hz
1345, 7.217E-08,Mode#1,Frequency=   5.956e-03Hz
1346, 6.850E-08,Mode#1,Frequency=   5.956e-03Hz
1347, 6.418E-08,Mode#1,Frequency=   5.956e-03Hz
1348, 6.151E-08,Mode#1,Frequency=   5.956e-03Hz
2169, 6.280E-08,Mode#1,Frequency=   5.956e-03Hz
2170, 6.955E-08,Mode#1,Frequency=   5.956e-03Hz
2171, 7.787E-08,Mode#1,Frequency=   5.956e-03Hz
2172, 8.774E-08,Mode#1,Frequency=   5.956e-03Hz
2173, 9.601E-08,Mode#1,Frequency=   5.956e-03Hz
2174, 1.026E-07,Mode#1,Frequency=   5.956e-03Hz
2175, 1.077E-07,Mode#1,Frequency=   5.956e-03Hz
2176, 1.127E-07,Mode#1,Frequency=   5.956e-03Hz
2177, 1.164E-07,Mode#1,Frequency=   5.956e-03Hz
2178, 1.194E-07,Mode#1,Frequency=   5.956e-03Hz
2179, 1.226E-07,Mode#1,Frequency=   5.956e-03Hz
2180, 1.253E-07,Mode#1,Frequency=   5.956e-03Hz
4175, 8.145E-08,Mode#1,Frequency=   5.956e-03Hz
4176, 9.140E-08,Mode#1,Frequency=   5.956e-03Hz
4177, 1.010E-07,Mode#1,Frequency=   5.956e-03Hz
4178, 1.104E-07,Mode#1,Frequency=   5.956e-03Hz
4179, 1.193E-07,Mode#1,Frequency=   5.956e-03Hz
4180, 1.279E-07,Mode#1,Frequency=   5.956e-03Hz
4181, 1.350E-07,Mode#1,Frequency=   5.956e-03Hz
4182, 1.405E-07,Mode#1,Frequency=   5.956e-03Hz
4183, 1.455E-07,Mode#1,Frequency=   5.956e-03Hz
4184, 1.494E-07,Mode#1,Frequency=   5.956e-03Hz
4185, 1.530E-07,Mode#1,Frequency=   5.956e-03Hz
4186, 1.557E-07,Mode#1,Frequency=   5.956e-03Hz
7716, 4.883E-08,Mode#1,Frequency=   5.956e-03Hz
7717, 4.443E-08,Mode#1,Frequency=   5.956e-03Hz
7718, 3.959E-08,Mode#1,Frequency=   5.956e-03Hz
7719, 3.662E-08,Mode#1,Frequency=   5.956e-03Hz
7720, 3.411E-08,Mode#1,Frequency=   5.956e-03Hz
7721, 3.206E-08,Mode#1,Frequency=   5.956e-03Hz
7722, 3.030E-08,Mode#1,Frequency=   5.956e-03Hz
7952, 4.436E-08,Mode#1,Frequency=   5.956e-03Hz
7953, 3.928E-08,Mode#1,Frequency=   5.956e-03Hz
7954, 3.472E-08,Mode#1,Frequency=   5.956e-03Hz
7955, 3.095E-08,Mode#1,Frequency=   5.956e-03Hz
7956, 2.785E-08,Mode#1,Frequency=   5.956e-03Hz
7957, 2.528E-08,Mode#1,Frequency=   5.956e-03Hz
7958, 2.287E-08,Mode#1,Frequency=   5.956e-03Hz
8895, 4.739E-08,Mode#1,Frequency=   5.956e-03Hz
8896, 5.065E-08,Mode#1,Frequency=   5.956e-03Hz
8897, 5.593E-08,Mode#1,Frequency=   5.956e-03Hz
8898, 6.309E-08,Mode#1,Frequency=   5.956e-03Hz
8899, 7.066E-08,Mode#1,Frequency=   5.956e-03Hz
8900, 7.586E-08,Mode#1,Frequency=   5.956e-03Hz
8901, 7.968E-08,Mode#1,Frequency=   5.956e-03Hz
8902, 8.303E-08,Mode#1,Frequency=   5.956e-03Hz
8903, 8.587E-08,Mode#1,Frequency=   5.956e-03Hz
8904, 8.844E-08,Mode#1,Frequency=   5.956e-03Hz
8905, 9.111E-08,Mode#1,Frequency=   5.956e-03Hz
9013, 4.175E-08,Mode#1,Frequency=   5.956e-03Hz
9014, 3.953E-08,Mode#1,Frequency=   5.956e-03Hz
9015, 3.912E-08,Mode#1,Frequency=   5.956e-03Hz
9016, 4.119E-08,Mode#1,Frequency=   5.956e-03Hz
9017, 4.522E-08,Mode#1,Frequency=   5.956e-03Hz
9018, 4.762E-08,Mode#1,Frequency=   5.956e-03Hz
9019, 4.965E-08,Mode#1,Frequency=   5.956e-03Hz
9020, 5.080E-08,Mode#1,Frequency=   5.956e-03Hz
9021, 5.213E-08,Mode#1,Frequency=   5.956e-03Hz
9022, 5.410E-08,Mode#1,Frequency=   5.956e-03Hz
9485, 3.679E-08,Mode#1,Frequency=   5.956e-03Hz
9486, 3.685E-08,Mode#1,Frequency=   5.956e-03Hz
9487, 3.877E-08,Mode#1,Frequency=   5.956e-03Hz
9488, 4.335E-08,Mode#1,Frequency=   5.956e-03Hz
9489, 4.885E-08,Mode#1,Frequency=   5.956e-03Hz
9490, 5.290E-08,Mode#1,Frequency=   5.956e-03Hz
9491, 5.596E-08,Mode#1,Frequency=   5.956e-03Hz
9492, 5.866E-08,Mode#1,Frequency=   5.956e-03Hz
9493, 6.081E-08,Mode#1,Frequency=   5.956e-03Hz
9494, 6.292E-08,Mode#1,Frequency=   5.956e-03Hz
10547, 1.067E-07,Mode#1,Frequency=   5.956e-03Hz
10548, 1.179E-07,Mode#1,Frequency=   5.956e-03Hz
