id,value,sim
1344, 1.122E-07,Mode#3,Frequency=   6.482e-03Hz
1345, 9.846E-08,Mode#3,Frequency=   6.482e-03Hz
1346, 8.506E-08,Mode#3,Frequency=   6.482e-03Hz
1347, 7.643E-08,Mode#3,Frequency=   6.482e-03Hz
1348, 7.155E-08,Mode#3,Frequency=   6.482e-03Hz
2169, 1.850E-07,Mode#3,Frequency=   6.482e-03Hz
2170, 1.835E-07,Mode#3,Frequency=   6.482e-03Hz
2171, 1.826E-07,Mode#3,Frequency=   6.482e-03Hz
2172, 1.815E-07,Mode#3,Frequency=   6.482e-03Hz
2173, 1.758E-07,Mode#3,Frequency=   6.482e-03Hz
2174, 1.679E-07,Mode#3,Frequency=   6.482e-03Hz
2175, 1.603E-07,Mode#3,Frequency=   6.482e-03Hz
2176, 1.525E-07,Mode#3,Frequency=   6.482e-03Hz
2177, 1.444E-07,Mode#3,Frequency=   6.482e-03Hz
2178, 1.368E-07,Mode#3,Frequency=   6.482e-03Hz
2179, 1.298E-07,Mode#3,Frequency=   6.482e-03Hz
2180, 1.234E-07,Mode#3,Frequency=   6.482e-03Hz
4175, 2.260E-07,Mode#3,Frequency=   6.482e-03Hz
4176, 2.208E-07,Mode#3,Frequency=   6.482e-03Hz
4177, 2.131E-07,Mode#3,Frequency=   6.482e-03Hz
4178, 2.060E-07,Mode#3,Frequency=   6.482e-03Hz
4179, 1.991E-07,Mode#3,Frequency=   6.482e-03Hz
4180, 1.909E-07,Mode#3,Frequency=   6.482e-03Hz
4181, 1.819E-07,Mode#3,Frequency=   6.482e-03Hz
4182, 1.727E-07,Mode#3,Frequency=   6.482e-03Hz
4183, 1.632E-07,Mode#3,Frequency=   6.482e-03Hz
4184, 1.541E-07,Mode#3,Frequency=   6.482e-03Hz
4185, 1.462E-07,Mode#3,Frequency=   6.482e-03Hz
4186, 1.381E-07,Mode#3,Frequency=   6.482e-03Hz
7716, 5.693E-08,Mode#3,Frequency=   6.482e-03Hz
7717, 5.346E-08,Mode#3,Frequency=   6.482e-03Hz
7718, 5.397E-08,Mode#3,Frequency=   6.482e-03Hz
7719, 5.661E-08,Mode#3,Frequency=   6.482e-03Hz
7720, 5.722E-08,Mode#3,Frequency=   6.482e-03Hz
7721, 5.669E-08,Mode#3,Frequency=   6.482e-03Hz
7722, 5.441E-08,Mode#3,Frequency=   6.482e-03Hz
7952, 5.870E-08,Mode#3,Frequency=   6.482e-03Hz
7953, 5.141E-08,Mode#3,Frequency=   6.482e-03Hz
7954, 4.737E-08,Mode#3,Frequency=   6.482e-03Hz
7955, 4.685E-08,Mode#3,Frequency=   6.482e-03Hz
7956, 4.632E-08,Mode#3,Frequency=   6.482e-03Hz
7957, 4.536E-08,Mode#3,Frequency=   6.482e-03Hz
7958, 4.345E-08,Mode#3,Frequency=   6.482e-03Hz
8895, 1.192E-07,Mode#3,Frequency=   6.482e-03Hz
8896, 1.237E-07,Mode#3,Frequency=   6.482e-03Hz
8897, 1.282E-07,Mode#3,Frequency=   6.482e-03Hz
8898, 1.326E-07,Mode#3,Frequency=   6.482e-03Hz
8899, 1.323E-07,Mode#3,Frequency=   6.482e-03Hz
8900, 1.287E-07,Mode#3,Frequency=   6.482e-03Hz
8901, 1.239E-07,Mode#3,Frequency=   6.482e-03Hz
8902, 1.182E-07,Mode#3,Frequency=   6.482e-03Hz
8903, 1.124E-07,Mode#3,Frequency=   6.482e-03Hz
8904, 1.063E-07,Mode#3,Frequency=   6.482e-03Hz
8905, 1.012E-07,Mode#3,Frequency=   6.482e-03Hz
9013, 5.877E-08,Mode#3,Frequency=   6.482e-03Hz
9014, 6.665E-08,Mode#3,Frequency=   6.482e-03Hz
9015, 7.452E-08,Mode#3,Frequency=   6.482e-03Hz
9016, 8.286E-08,Mode#3,Frequency=   6.482e-03Hz
9017, 8.713E-08,Mode#3,Frequency=   6.482e-03Hz
9018, 8.724E-08,Mode#3,Frequency=   6.482e-03Hz
9019, 8.522E-08,Mode#3,Frequency=   6.482e-03Hz
9020, 8.178E-08,Mode#3,Frequency=   6.482e-03Hz
9021, 7.813E-08,Mode#3,Frequency=   6.482e-03Hz
9022, 7.400E-08,Mode#3,Frequency=   6.482e-03Hz
9485, 5.885E-08,Mode#3,Frequency=   6.482e-03Hz
9486, 6.760E-08,Mode#3,Frequency=   6.482e-03Hz
9487, 7.603E-08,Mode#3,Frequency=   6.482e-03Hz
9488, 8.445E-08,Mode#3,Frequency=   6.482e-03Hz
9489, 8.866E-08,Mode#3,Frequency=   6.482e-03Hz
9490, 8.878E-08,Mode#3,Frequency=   6.482e-03Hz
9491, 8.667E-08,Mode#3,Frequency=   6.482e-03Hz
9492, 8.273E-08,Mode#3,Frequency=   6.482e-03Hz
9493, 7.882E-08,Mode#3,Frequency=   6.482e-03Hz
9494, 7.420E-08,Mode#3,Frequency=   6.482e-03Hz
10547, 3.001E-07,Mode#3,Frequency=   6.482e-03Hz
10548, 2.856E-07,Mode#3,Frequency=   6.482e-03Hz
10549, 2.677E-07,Mode#3,Frequency=   6.482e-03Hz
10550, 2.528E-07,Mode#3,Frequency=   6.482e-03Hz
10551, 2.410E-07,Mode#3,Frequency=   6.482e-03Hz
10552, 2.294E-07,Mode#3,Frequency=   6.482e-03Hz
10553, 2.182E-07,Mode#3,Frequency=   6.482e-03Hz
10554, 2.067E-07,Mode#3,Frequency=   6.482e-03Hz
10555, 1.952E-07,Mode#3,Frequency=   6.482e-03Hz
10556, 1.852E-07,Mode#3,Frequency=   6.482e-03Hz
10557, 1.752E-07,Mode#3,Frequency=   6.482e-03Hz
10558, 1.659E-07,Mode#3,Frequency=   6.482e-03Hz
10559, 1.570E-07,Mode#3,Frequency=   6.482e-03Hz
10902, 1.428E-07,Mode#3,Frequency=   6.482e-03Hz
10903, 1.269E-07,Mode#3,Frequency=   6.482e-03Hz
10904, 1.110E-07,Mode#3,Frequency=   6.482e-03Hz
10905, 9.788E-08,Mode#3,Frequency=   6.482e-03Hz
13969, 1.433E-07,Mode#3,Frequency=   6.482e-03Hz
13970, 1.460E-07,Mode#3,Frequency=   6.482e-03Hz
13971, 1.476E-07,Mode#3,Frequency=   6.482e-03Hz
13972, 1.488E-07,Mode#3,Frequency=   6.482e-03Hz
13973, 1.476E-07,Mode#3,Frequency=   6.482e-03Hz
13974, 1.437E-07,Mode#3,Frequency=   6.482e-03Hz
13975, 1.375E-07,Mode#3,Frequency=   6.482e-03Hz
13976, 1.311E-07,Mode#3,Frequency=   6.482e-03Hz
13977, 1.242E-07,Mode#3,Frequency=   6.482e-03Hz
13978, 1.170E-07,Mode#3,Frequency=   6.482e-03Hz
13979, 1.109E-07,Mode#3,Frequency=   6.482e-03Hz
1107, 2.466E-07,Mode#3,Frequency=   6.482e-03Hz
1108, 2.384E-07,Mode#3,Frequency=   6.482e-03Hz
1109, 2.318E-07,Mode#3,Frequency=   6.482e-03Hz
1110, 2.246E-07,Mode#3,Frequency=   6.482e-03Hz
1111, 2.137E-07,Mode#3,Frequency=   6.482e-03Hz
1112, 2.024E-07,Mode#3,Frequency=   6.482e-03Hz
1113, 1.923E-07,Mode#3,Frequency=   6.482e-03Hz
1114, 1.825E-07,Mode#3,Frequency=   6.482e-03Hz
1115, 1.727E-07,Mode#3,Frequency=   6.482e-03Hz
1116, 1.637E-07,Mode#3,Frequency=   6.482e-03Hz
1117, 1.555E-07,Mode#3,Frequency=   6.482e-03Hz
1118, 1.475E-07,Mode#3,Frequency=   6.482e-03Hz
1119, 1.400E-07,Mode#3,Frequency=   6.482e-03Hz
5828, 7.603E-08,Mode#3,Frequency=   6.482e-03Hz
5829, 6.886E-08,Mode#3,Frequency=   6.482e-03Hz
5830, 6.506E-08,Mode#3,Frequency=   6.482e-03Hz
5831, 6.562E-08,Mode#3,Frequency=   6.482e-03Hz
5832, 6.668E-08,Mode#3,Frequency=   6.482e-03Hz
5833, 6.572E-08,Mode#3,Frequency=   6.482e-03Hz
5834, 6.382E-08,Mode#3,Frequency=   6.482e-03Hz
5835, 6.129E-08,Mode#3,Frequency=   6.482e-03Hz
6299, 5.394E-08,Mode#3,Frequency=   6.482e-03Hz
6300, 5.719E-08,Mode#3,Frequency=   6.482e-03Hz
6301, 6.187E-08,Mode#3,Frequency=   6.482e-03Hz
6302, 6.931E-08,Mode#3,Frequency=   6.482e-03Hz
6303, 7.419E-08,Mode#3,Frequency=   6.482e-03Hz
6304, 7.542E-08,Mode#3,Frequency=   6.482e-03Hz
6305, 7.459E-08,Mode#3,Frequency=   6.482e-03Hz
6306, 7.194E-08,Mode#3,Frequency=   6.482e-03Hz
6307, 6.899E-08,Mode#3,Frequency=   6.482e-03Hz
6308, 6.589E-08,Mode#3,Frequency=   6.482e-03Hz
7361, 3.620E-07,Mode#3,Frequency=   6.482e-03Hz
7362, 3.387E-07,Mode#3,Frequency=   6.482e-03Hz
7363, 3.110E-07,Mode#3,Frequency=   6.482e-03Hz
7364, 2.890E-07,Mode#3,Frequency=   6.482e-03Hz
7365, 2.739E-07,Mode#3,Frequency=   6.482e-03Hz
7366, 2.600E-07,Mode#3,Frequency=   6.482e-03Hz
7367, 2.468E-07,Mode#3,Frequency=   6.482e-03Hz
7368, 2.337E-07,Mode#3,Frequency=   6.482e-03Hz
7369, 2.211E-07,Mode#3,Frequency=   6.482e-03Hz
7370, 2.096E-07,Mode#3,Frequency=   6.482e-03Hz
7371, 1.984E-07,Mode#3,Frequency=   6.482e-03Hz
7372, 1.882E-07,Mode#3,Frequency=   6.482e-03Hz
7373, 1.783E-07,Mode#3,Frequency=   6.482e-03Hz
7374, 1.694E-07,Mode#3,Frequency=   6.482e-03Hz
8187, 3.011E-07,Mode#3,Frequency=   6.482e-03Hz
8188, 2.865E-07,Mode#3,Frequency=   6.482e-03Hz
8189, 2.745E-07,Mode#3,Frequency=   6.482e-03Hz
8190, 2.616E-07,Mode#3,Frequency=   6.482e-03Hz
8191, 2.456E-07,Mode#3,Frequency=   6.482e-03Hz
8192, 2.315E-07,Mode#3,Frequency=   6.482e-03Hz
8193, 2.194E-07,Mode#3,Frequency=   6.482e-03Hz
8194, 2.079E-07,Mode#3,Frequency=   6.482e-03Hz
8195, 1.969E-07,Mode#3,Frequency=   6.482e-03Hz
8196, 1.869E-07,Mode#3,Frequency=   6.482e-03Hz
