id,value,sim
1344, 1.803E-06,Mode#4,Frequency=   6.707e-03Hz
1345, 1.801E-06,Mode#4,Frequency=   6.707e-03Hz
1346, 1.787E-06,Mode#4,Frequency=   6.707e-03Hz
1347, 1.763E-06,Mode#4,Frequency=   6.707e-03Hz
1348, 1.736E-06,Mode#4,Frequency=   6.707e-03Hz
2169, 1.571E-06,Mode#4,Frequency=   6.707e-03Hz
2170, 1.532E-06,Mode#4,Frequency=   6.707e-03Hz
2171, 1.488E-06,Mode#4,Frequency=   6.707e-03Hz
2172, 1.436E-06,Mode#4,Frequency=   6.707e-03Hz
2173, 1.389E-06,Mode#4,Frequency=   6.707e-03Hz
2174, 1.352E-06,Mode#4,Frequency=   6.707e-03Hz
2175, 1.322E-06,Mode#4,Frequency=   6.707e-03Hz
2176, 1.295E-06,Mode#4,Frequency=   6.707e-03Hz
2177, 1.269E-06,Mode#4,Frequency=   6.707e-03Hz
2178, 1.243E-06,Mode#4,Frequency=   6.707e-03Hz
2179, 1.216E-06,Mode#4,Frequency=   6.707e-03Hz
2180, 1.189E-06,Mode#4,Frequency=   6.707e-03Hz
4175, 1.917E-06,Mode#4,Frequency=   6.707e-03Hz
4176, 1.858E-06,Mode#4,Frequency=   6.707e-03Hz
4177, 1.779E-06,Mode#4,Frequency=   6.707e-03Hz
4178, 1.696E-06,Mode#4,Frequency=   6.707e-03Hz
4179, 1.644E-06,Mode#4,Frequency=   6.707e-03Hz
4180, 1.608E-06,Mode#4,Frequency=   6.707e-03Hz
4181, 1.574E-06,Mode#4,Frequency=   6.707e-03Hz
4182, 1.542E-06,Mode#4,Frequency=   6.707e-03Hz
4183, 1.511E-06,Mode#4,Frequency=   6.707e-03Hz
4184, 1.480E-06,Mode#4,Frequency=   6.707e-03Hz
4185, 1.448E-06,Mode#4,Frequency=   6.707e-03Hz
4186, 1.415E-06,Mode#4,Frequency=   6.707e-03Hz
7716, 1.849E-06,Mode#4,Frequency=   6.707e-03Hz
7717, 1.835E-06,Mode#4,Frequency=   6.707e-03Hz
7718, 1.809E-06,Mode#4,Frequency=   6.707e-03Hz
7719, 1.776E-06,Mode#4,Frequency=   6.707e-03Hz
7720, 1.746E-06,Mode#4,Frequency=   6.707e-03Hz
7721, 1.722E-06,Mode#4,Frequency=   6.707e-03Hz
7722, 1.700E-06,Mode#4,Frequency=   6.707e-03Hz
7952, 2.133E-06,Mode#4,Frequency=   6.707e-03Hz
7953, 2.116E-06,Mode#4,Frequency=   6.707e-03Hz
7954, 2.100E-06,Mode#4,Frequency=   6.707e-03Hz
7955, 2.078E-06,Mode#4,Frequency=   6.707e-03Hz
7956, 2.048E-06,Mode#4,Frequency=   6.707e-03Hz
7957, 2.022E-06,Mode#4,Frequency=   6.707e-03Hz
7958, 1.999E-06,Mode#4,Frequency=   6.707e-03Hz
8895, 1.707E-06,Mode#4,Frequency=   6.707e-03Hz
8896, 1.674E-06,Mode#4,Frequency=   6.707e-03Hz
8897, 1.635E-06,Mode#4,Frequency=   6.707e-03Hz
8898, 1.588E-06,Mode#4,Frequency=   6.707e-03Hz
8899, 1.542E-06,Mode#4,Frequency=   6.707e-03Hz
8900, 1.506E-06,Mode#4,Frequency=   6.707e-03Hz
8901, 1.479E-06,Mode#4,Frequency=   6.707e-03Hz
8902, 1.454E-06,Mode#4,Frequency=   6.707e-03Hz
8903, 1.432E-06,Mode#4,Frequency=   6.707e-03Hz
8904, 1.409E-06,Mode#4,Frequency=   6.707e-03Hz
8905, 1.385E-06,Mode#4,Frequency=   6.707e-03Hz
9013, 1.832E-06,Mode#4,Frequency=   6.707e-03Hz
