id,value,sim
1344, 8.294E-08,Mode#2,Frequency=   6.237e-03Hz
1345, 7.487E-08,Mode#2,Frequency=   6.237e-03Hz
1346, 6.701E-08,Mode#2,Frequency=   6.237e-03Hz
1347, 6.225E-08,Mode#2,Frequency=   6.237e-03Hz
1348, 5.977E-08,Mode#2,Frequency=   6.237e-03Hz
2169, 1.153E-07,Mode#2,Frequency=   6.237e-03Hz
2170, 1.157E-07,Mode#2,Frequency=   6.237e-03Hz
2171, 1.163E-07,Mode#2,Frequency=   6.237e-03Hz
2172, 1.168E-07,Mode#2,Frequency=   6.237e-03Hz
2173, 1.145E-07,Mode#2,Frequency=   6.237e-03Hz
2174, 1.109E-07,Mode#2,Frequency=   6.237e-03Hz
2175, 1.067E-07,Mode#2,Frequency=   6.237e-03Hz
2176, 1.031E-07,Mode#2,Frequency=   6.237e-03Hz
2177, 9.818E-08,Mode#2,Frequency=   6.237e-03Hz
2178, 9.319E-08,Mode#2,Frequency=   6.237e-03Hz
2179, 8.932E-08,Mode#2,Frequency=   6.237e-03Hz
2180, 8.463E-08,Mode#2,Frequency=   6.237e-03Hz
4175, 1.456E-07,Mode#2,Frequency=   6.237e-03Hz
4176, 1.436E-07,Mode#2,Frequency=   6.237e-03Hz
4177, 1.402E-07,Mode#2,Frequency=   6.237e-03Hz
4178, 1.369E-07,Mode#2,Frequency=   6.237e-03Hz
4179, 1.342E-07,Mode#2,Frequency=   6.237e-03Hz
4180, 1.307E-07,Mode#2,Frequency=   6.237e-03Hz
4181, 1.258E-07,Mode#2,Frequency=   6.237e-03Hz
4182, 1.212E-07,Mode#2,Frequency=   6.237e-03Hz
4183, 1.149E-07,Mode#2,Frequency=   6.237e-03Hz
4184, 1.097E-07,Mode#2,Frequency=   6.237e-03Hz
4185, 1.048E-07,Mode#2,Frequency=   6.237e-03Hz
4186, 9.886E-08,Mode#2,Frequency=   6.237e-03Hz
7716, 4.767E-08,Mode#2,Frequency=   6.237e-03Hz
7717, 4.549E-08,Mode#2,Frequency=   6.237e-03Hz
7718, 4.466E-08,Mode#2,Frequency=   6.237e-03Hz
7719, 4.609E-08,Mode#2,Frequency=   6.237e-03Hz
7720, 4.647E-08,Mode#2,Frequency=   6.237e-03Hz
7721, 4.723E-08,Mode#2,Frequency=   6.237e-03Hz
7722, 4.700E-08,Mode#2,Frequency=   6.237e-03Hz
7952, 5.023E-08,Mode#2,Frequency=   6.237e-03Hz
7953, 4.651E-08,Mode#2,Frequency=   6.237e-03Hz
