id,value,sim
11712, 9.278E+01,Mode#8,Frequency=   3.049e+02Hz
974, 9.120E+01,Mode#8,Frequency=   3.049e+02Hz
13364, 8.847E+01,Mode#8,Frequency=   3.049e+02Hz
13836, 8.585E+01,Mode#8,Frequency=   3.049e+02Hz
16909, 9.761E+01,Mode#8,Frequency=   3.049e+02Hz
16975, 9.273E+01,Mode#8,Frequency=   3.049e+02Hz
16976, 8.670E+01,Mode#8,Frequency=   3.049e+02Hz
17780, 9.761E+01,Mode#8,Frequency=   3.049e+02Hz
16640, 8.314E+01,Mode#8,Frequency=   3.049e+02Hz
16641, 7.277E+01,Mode#8,Frequency=   3.049e+02Hz
17109, 9.968E+01,Mode#8,Frequency=   3.049e+02Hz
17110, 9.622E+01,Mode#8,Frequency=   3.049e+02Hz
16706, 9.803E+01,Mode#8,Frequency=   3.049e+02Hz
16707, 7.314E+01,Mode#8,Frequency=   3.049e+02Hz
16708, 5.675E+01,Mode#8,Frequency=   3.049e+02Hz
16774, 9.096E+01,Mode#8,Frequency=   3.049e+02Hz
16775, 8.500E+01,Mode#8,Frequency=   3.049e+02Hz
17712, 9.273E+01,Mode#8,Frequency=   3.049e+02Hz
17713, 8.670E+01,Mode#8,Frequency=   3.049e+02Hz
17846, 9.968E+01,Mode#8,Frequency=   3.049e+02Hz
17847, 9.622E+01,Mode#8,Frequency=   3.049e+02Hz
18047, 8.314E+01,Mode#8,Frequency=   3.049e+02Hz
18048, 7.277E+01,Mode#8,Frequency=   3.049e+02Hz
16505, 9.629E+01,Mode#8,Frequency=   3.049e+02Hz
16506, 6.456E+01,Mode#8,Frequency=   3.049e+02Hz
16507, 4.020E+01,Mode#8,Frequency=   3.049e+02Hz
16840, 9.732E+01,Mode#8,Frequency=   3.049e+02Hz
16841, 8.127E+01,Mode#8,Frequency=   3.049e+02Hz
16842, 7.191E+01,Mode#8,Frequency=   3.049e+02Hz
16572, 9.368E+01,Mode#8,Frequency=   3.049e+02Hz
16573, 7.203E+01,Mode#8,Frequency=   3.049e+02Hz
16574, 5.826E+01,Mode#8,Frequency=   3.049e+02Hz
18181, 9.096E+01,Mode#8,Frequency=   3.049e+02Hz
18182, 8.500E+01,Mode#8,Frequency=   3.049e+02Hz
23207, 9.836E+01,Mode#8,Frequency=   3.049e+02Hz
18113, 9.732E+01,Mode#8,Frequency=   3.049e+02Hz
18114, 8.127E+01,Mode#8,Frequency=   3.049e+02Hz
18115, 7.191E+01,Mode#8,Frequency=   3.049e+02Hz
23273, 9.322E+01,Mode#8,Frequency=   3.049e+02Hz
23274, 8.809E+01,Mode#8,Frequency=   3.049e+02Hz
16371, 9.573E+01,Mode#8,Frequency=   3.049e+02Hz
16372, 5.947E+01,Mode#8,Frequency=   3.049e+02Hz
16373, 2.688E+01,Mode#8,Frequency=   3.049e+02Hz
16438, 9.206E+01,Mode#8,Frequency=   3.049e+02Hz
16439, 6.569E+01,Mode#8,Frequency=   3.049e+02Hz
16440, 4.727E+01,Mode#8,Frequency=   3.049e+02Hz
20058, 9.836E+01,Mode#8,Frequency=   3.049e+02Hz
20525, 9.807E+01,Mode#8,Frequency=   3.049e+02Hz
20526, 8.440E+01,Mode#8,Frequency=   3.049e+02Hz
20527, 7.666E+01,Mode#8,Frequency=   3.049e+02Hz
16237, 9.573E+01,Mode#8,Frequency=   3.049e+02Hz
16238, 5.947E+01,Mode#8,Frequency=   3.049e+02Hz
16239, 2.688E+01,Mode#8,Frequency=   3.049e+02Hz
16304, 9.206E+01,Mode#8,Frequency=   3.049e+02Hz
16305, 6.569E+01,Mode#8,Frequency=   3.049e+02Hz
16306, 4.727E+01,Mode#8,Frequency=   3.049e+02Hz
19990, 9.322E+01,Mode#8,Frequency=   3.049e+02Hz
19991, 8.809E+01,Mode#8,Frequency=   3.049e+02Hz
20391, 9.430E+01,Mode#8,Frequency=   3.049e+02Hz
20392, 7.562E+01,Mode#8,Frequency=   3.049e+02Hz
20393, 6.428E+01,Mode#8,Frequency=   3.049e+02Hz
20458, 9.807E+01,Mode#8,Frequency=   3.049e+02Hz
20459, 8.440E+01,Mode#8,Frequency=   3.049e+02Hz
20460, 7.666E+01,Mode#8,Frequency=   3.049e+02Hz
20593, 9.467E+01,Mode#8,Frequency=   3.049e+02Hz
20594, 8.994E+01,Mode#8,Frequency=   3.049e+02Hz
18314, 9.368E+01,Mode#8,Frequency=   3.049e+02Hz
18315, 7.203E+01,Mode#8,Frequency=   3.049e+02Hz
18316, 5.826E+01,Mode#8,Frequency=   3.049e+02Hz
18448, 9.206E+01,Mode#8,Frequency=   3.049e+02Hz
18449, 6.569E+01,Mode#8,Frequency=   3.049e+02Hz
18450, 4.727E+01,Mode#8,Frequency=   3.049e+02Hz
23004, 9.807E+01,Mode#8,Frequency=   3.049e+02Hz
23005, 8.440E+01,Mode#8,Frequency=   3.049e+02Hz
23006, 7.666E+01,Mode#8,Frequency=   3.049e+02Hz
17979, 9.803E+01,Mode#8,Frequency=   3.049e+02Hz
17980, 7.314E+01,Mode#8,Frequency=   3.049e+02Hz
17981, 5.675E+01,Mode#8,Frequency=   3.049e+02Hz
18247, 9.629E+01,Mode#8,Frequency=   3.049e+02Hz
18248, 6.456E+01,Mode#8,Frequency=   3.049e+02Hz
18249, 4.020E+01,Mode#8,Frequency=   3.049e+02Hz
18381, 9.573E+01,Mode#8,Frequency=   3.049e+02Hz
18382, 5.947E+01,Mode#8,Frequency=   3.049e+02Hz
18383, 2.688E+01,Mode#8,Frequency=   3.049e+02Hz
7740, 7.857E+01,Mode#8,Frequency=   3.049e+02Hz
7741, 4.629E+01,Mode#8,Frequency=   3.049e+02Hz
7742, 2.653E+01,Mode#8,Frequency=   3.049e+02Hz
7743, 1.757E+01,Mode#8,Frequency=   3.049e+02Hz
7744, 1.558E+01,Mode#8,Frequency=   3.049e+02Hz
7745, 1.555E+01,Mode#8,Frequency=   3.049e+02Hz
7975, 8.319E+01,Mode#8,Frequency=   3.049e+02Hz
7976, 4.238E+01,Mode#8,Frequency=   3.049e+02Hz
7977, 2.478E+01,Mode#8,Frequency=   3.049e+02Hz
7978, 3.258E+01,Mode#8,Frequency=   3.049e+02Hz
7979, 4.244E+01,Mode#8,Frequency=   3.049e+02Hz
7980, 4.832E+01,Mode#8,Frequency=   3.049e+02Hz
7981, 5.083E+01,Mode#8,Frequency=   3.049e+02Hz
5851, 9.883E+01,Mode#8,Frequency=   3.049e+02Hz
5852, 7.482E+01,Mode#8,Frequency=   3.049e+02Hz
5853, 7.081E+01,Mode#8,Frequency=   3.049e+02Hz
5854, 7.547E+01,Mode#8,Frequency=   3.049e+02Hz
5855, 8.040E+01,Mode#8,Frequency=   3.049e+02Hz
5856, 8.340E+01,Mode#8,Frequency=   3.049e+02Hz
5857, 8.456E+01,Mode#8,Frequency=   3.049e+02Hz
6330, 9.995E+01,Mode#8,Frequency=   3.049e+02Hz
7746, 1.524E+01,Mode#8,Frequency=   3.049e+02Hz
7747, 1.446E+01,Mode#8,Frequency=   3.049e+02Hz
7748, 1.346E+01,Mode#8,Frequency=   3.049e+02Hz
7749, 1.245E+01,Mode#8,Frequency=   3.049e+02Hz
7750, 1.177E+01,Mode#8,Frequency=   3.049e+02Hz
7751, 1.233E+01,Mode#8,Frequency=   3.049e+02Hz
7752, 1.245E+01,Mode#8,Frequency=   3.049e+02Hz
7753, 1.268E+01,Mode#8,Frequency=   3.049e+02Hz
7754, 1.290E+01,Mode#8,Frequency=   3.049e+02Hz
7755, 1.309E+01,Mode#8,Frequency=   3.049e+02Hz
7982, 5.113E+01,Mode#8,Frequency=   3.049e+02Hz
7983, 5.022E+01,Mode#8,Frequency=   3.049e+02Hz
7984, 4.883E+01,Mode#8,Frequency=   3.049e+02Hz
7985, 4.741E+01,Mode#8,Frequency=   3.049e+02Hz
7986, 4.643E+01,Mode#8,Frequency=   3.049e+02Hz
7987, 4.694E+01,Mode#8,Frequency=   3.049e+02Hz
7988, 4.715E+01,Mode#8,Frequency=   3.049e+02Hz
7989, 4.748E+01,Mode#8,Frequency=   3.049e+02Hz
7990, 4.778E+01,Mode#8,Frequency=   3.049e+02Hz
7991, 4.805E+01,Mode#8,Frequency=   3.049e+02Hz
5858, 8.446E+01,Mode#8,Frequency=   3.049e+02Hz
5859, 8.370E+01,Mode#8,Frequency=   3.049e+02Hz
5860, 8.271E+01,Mode#8,Frequency=   3.049e+02Hz
5861, 8.164E+01,Mode#8,Frequency=   3.049e+02Hz
5862, 8.092E+01,Mode#8,Frequency=   3.049e+02Hz
5863, 8.150E+01,Mode#8,Frequency=   3.049e+02Hz
5864, 8.156E+01,Mode#8,Frequency=   3.049e+02Hz
5865, 8.167E+01,Mode#8,Frequency=   3.049e+02Hz
5866, 8.183E+01,Mode#8,Frequency=   3.049e+02Hz
