525 460 200
49 517.43930080278 623.41949056331 80.576778088687
50 517.43930080278 340.57677808869 363.41949056331
51 496.30838771575 591.37667146052 48.533958985898
52 496.30838771575 308.5339589859 331.37667146052
53 515.0208531763 628.11795366724 85.275241192617
54 515.0208531763 345.27524119262 368.11795366724
55 560.33624252814 613.17614173073 70.333429256111
56 560.33624252814 330.33342925611 353.17614173073
57 489.66375747186 589.66657074389 46.82385826927
58 534.9791468237 574.72475880738 31.882046332764
59 534.9791468237 291.88204633276 314.72475880738
60 489.66375747186 306.82385826927 329.66657074389
61 553.69161228425 611.4660410141 68.623328539483
62 532.56069919722 579.42322191131 36.580509436693
63 532.56069919722 296.58050943669 319.42322191131
64 553.69161228425 328.62332853948 351.4660410141
