525 460 200
168 398.30459742862 605.04566066173 262.72982775746
167 675.99524966867 364.41500983337 104.66404543752
166 642.07574157281 327.89820797317 100.66527657221
165 364.38508933276 568.52885880153 258.73105889216
164 371.81525714656 550.31532640126 299.51168963474
163 649.50590938661 309.6846755729 141.4459073148
162 637.48133313841 325.86451136651 95.689787726891
161 359.79068089836 566.49516219487 253.75557004683
160 678.18474285344 369.68467359875 100.48831036526
159 400.49409061339 610.31532442711 258.5540926852
158 690.20931910164 353.50483780514 146.24442995317
157 412.51866686159 594.1354886335 304.31021227311
156 651.69540257138 314.95433933828 137.27017224254
155 374.00475033133 555.58499016664 295.33595456248
154 685.61491066724 351.47114119848 141.26894110785
153 407.92425842719 592.10179202684 299.33472342779
